journal,slug
Abstracta Botanica,abstbota
AIBS Bulletin,aibsbulletin
Ambio,ambio
Ambio Special Report,ambispecrepo
American Journal of Botany,americanjbotany
American Zoologist,amerzool
Annales Zoologici Fennici,annazoolfenn
Annals of Botany,annabota
Annual Review of Ecology and Systematics,annureviecolsyst
"Annual Review of Ecology, Evolution, and Systematics",annureviecolevol
Applied Vegetation Science,applvegescie
Arctic and Alpine Research,arctalpirese
"Arctic, Antarctic, and Alpine Research",arctantaalpirese
Behavioral Ecology and Sociobiology,behaecolsoci
Behaviour,behaviour
Biodiversity Letters,biodlett
Biological Bulletin,biolbull
BioScience,bioscience
Biotropica,biotropica
Botanical Review,botarevi
Bulletin (Association for Tropical Biology),bullassotropbiol
Bulletin of the Gray Memorial Botanical Chapter of the Agassiz Association,bullgraymemobota
Bulletin of the Torrey Botanical Club,bulltorrbotaclub
Chesapeake Science,chesscie
Coenoses,coenoses
Community Ecology,communityecology
Conservation Biology,consbiol
Diversity and Distributions,divedist
Ecography,ecography
Ecological Applications,ecolappl
Ecological Monographs,ecolmono
Ecology,ecology
Ã‰coscience,ecoscience
Ecosystems,ecosystems
Environmental Values,envivalu
Estuaries,estuaries
Estuaries and Coasts,estuariescoasts
Folia Geobotanica,foligeob
Folia Geobotanica & Phytotaxonomica,foligeobphyt
Freshwater Invertebrate Biology,fresinvebiol
Freshwater Science,fresscie
Frontiers in Ecology and the Environment,fronecolenvi
Functional Ecology,funcecol
Global Ecology and Biogeography,globecolbiog
Global Ecology and Biogeography Letters,globecolbioglett
Holarctic Ecology,holarcticecology
Human Ecology,humanecology
Integrative and Comparative Biology,intecompbiol
Journal of Animal Ecology,janimalecology
Journal of Applied Ecology,jappliedecology
Journal of Biogeography,jbiogeography
Journal of Coastal Conservation,jcoascons
Journal of Coastal Research,jcoasrese
Journal of Ecology,jecology
Journal of the North American Benthological Society,jnortamerbentsoc
Journal of Tropical Ecology,jtropicalecology
Journal of Vegetation Science,jvegescie
Litoralia,litoralia
Mycologia,mycologia
Mycological Bulletin,mycobull
Oecologia,oecologia
Ohio Mycological Bulletin,ohiomycobull
Oikos,oikos
Philosophical Transactions of the Royal Society of London. B,philtranroyasoc5
"Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences",philtranroyasoc2
"Philosophical Transactions of the Royal Society of London. Series B, Containing Papers of a Biological Character",philtranroyasoc7
Philosophical Transactions: Biological Sciences,philtranbiolscie
Plant Ecology,plantecology
Proceedings of the National Academy of Sciences of the United States of America,procnatiacadscie
"Proceedings of the Royal Society of London. Series B, Biological Sciences",procroyasocilon2
"Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character",procroyasocilon4
Proceedings: Biological Sciences,procbiolscie
Science,science
The American Naturalist,amernatu
The Asa Gray Bulletin,asagraybull
The Journal of Mycology,jmycology
The Journal of the Torrey Botanical Society,jtorrbotasoci
The Journal of Wildlife Management,jwildmana
The New Phytologist,newphytologist
The Plant World,plantworld
The Quarterly Review of Biology,quarrevibiol
The Scientific Monthly,sciemont
Torreya,torreya
Vegetatio,vegetatio
Wildlife Monographs,wildmono
Wildlife Society Bulletin (1973-2006),wildsocibull
Wildlife Society Bulletin (2011-),wildsocibull2011
Zoological Bulletin,zoolbull